Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
9999,Toyota,Rukus,Build 2,AZE151R,2010,263000,Wagon,Automatic,Unleaded Petrol,Used,2362,Grey,5
79990,Mercedes-Benz,Valente,116 CDI MWB RWD,447 MY21,2021,24,Wagon,Automatic,Diesel,New In Stock,2143,Black,8
34990,Mercedes-Benz,E250,CDI Avantgarde,207,2010,120579,Cabriolet,Automatic,Diesel,Used,2143,Black,4
15990,Holden,Cruze,CD,JH MY16,2016,72506,Sportswagon,Automatic,Unleaded Petrol,Used,1796,White,5
26800,Nissan,X-Trail,ST (4WD),T32 Series 2,2017,121870,Wagon,Automatic,Unleaded Petrol,Used,2488,White,5
23990,Ford,Territory,TX (rwd),SZ MK2,2016,154136,Wagon,Automatic,Diesel,Used,2720,White,5
18990,BMW,325I,Exclusive,E90 MY11,2011,117306,Sedan,Automatic,Premium Unleaded Petrol,Used,2497,Grey,5
15490,Holden,Statesman,International,WL,2005,172151,Sedan,Automatic,Unleaded Petrol,Used,5665,Blue,5
15490,Holden,Commodore,Berlina,Vyii,2003,186990,Sedan,Automatic,Unleaded Petrol,Used,5665,Green,5
15490,Isuzu,D-MAX,SX (4X2),TF MY15,2015,231907,Cab Chassis,Manual,Diesel,Used,2999,White,2
12490,Ford,Focus,Ambiente,LW MK2,2013,64109,Hatchback,Manual,Unleaded Petrol,Used,1596,Black,5
13500,Hyundai,Elantra,Active,MD2,2013,84500,Sedan,Automatic,Unleaded Petrol,Used,1796,White,5
39880,Hyundai,Santa FE,Active MPI (2WD),TM.2 MY20,2020,57683,Wagon,Automatic,Unleaded Petrol,Used,3470,White,7
10500,Hyundai,I30,SX,FD MY10,2010,87318,Hatchback,Automatic,Unleaded Petrol,Used,1591,Blue,5
27490,Volkswagen,Caddy,Maxi TDI250,2K MY15,2015,137423,Van,Automatic,Diesel,Used,1598,White,2
27490,Hyundai,Tucson,Highlander (awd),TLE,2016,159044,Wagon,Automatic,Diesel,Used,1995,White,5
25990,Lexus,RX350,Luxury,GGL15R MY12,2013,124101,Wagon,Automatic,Premium Unleaded Petrol,Used,3456,Silver,5
9000,Ford,Falcon,XR6,FG,2009,298000,Sedan,Automatic,Unleaded Petrol,Used,3984,Silver,5
79990,Mercedes-Benz,Valente,116 CDI MWB RWD,447 MY21,2021,21,Wagon,Automatic,Diesel,New In Stock,2143,Grey,8
73990,Mercedes-Benz,Vito,119 CDI MWB RWD,447 MY21,2021,24,Crew Cab Van,Automatic,Diesel,New In Stock,2143,White,5
7000,Mazda,2,NEO,DE MY12,2012,77000,Hatchback,Manual,Unleaded Petrol,Used,1498,Blue,5
21990,Audi,Q3,2.0 TDI Quattro (103KW),8U MY14,2014,124000,Wagon,Automatic,Diesel,Used,1968,Red,5
28990,Nissan,X-Trail,ST (2WD),T32 Series 2,2017,108423,Wagon,Automatic,Unleaded Petrol,Used,2488,Black,5
30990,Holden,Commodore,LT,ZB MY19.5,2019,50764,Liftback,Automatic,Premium Unleaded Petrol,Used,1998,Grey,5
32990,Holden,Commodore,LT,ZB MY19.5,2019,32164,Liftback,Automatic,Premium Unleaded Petrol,Used,1998,White,5
24990,Subaru,Forester,2.0D-L,MY16,2016,114873,Wagon,Automatic,Diesel,Used,1998,White,5
38980,Nissan,Patrol,ST (4X4),GU IV,2004,282190,Wagon,Manual,Diesel,Used,4169,Gold,7
24990,Toyota,RAV4,GX (2WD),ZSA42R MY17,2017,119716,Wagon,Automatic,Unleaded Petrol,Used,1987,Black,5
36990,Mercedes-Benz,Sprinter,416CDI LWB,906 MY10,2011,223170,Van,Automatic,Diesel,Used,2143,Green,2
20990,Mitsubishi,Triton,GLX (4X4),MN MY15,2015,237301,Double Cab Utility,Manual,Diesel,Used,2477,White,5
74990,Toyota,Landcruiser,Workmate (4X4),VDJ79R MY18,2018,117722,Cab Chassis,Manual,Diesel,Used,4461,White,3
37975,Ford,Ranger,XL 3.2 (4X4),PX Mkii MY17,2017,134612,Cab Chassis,Automatic,Diesel,Used,3198,White,2
49999,Holden,Colorado,LS-X Special Edition,RG MY18,2018,46034,Crew Cab Utility,Automatic,Diesel,Used,2776,White,5
31990,Mitsubishi,Outlander,ES 5 Seat (awd),ZL MY18.5,2018,68718,Wagon,Automatic,Unleaded Petrol,Used,2360,White,5
12990,Kia,Sportage,SI (fwd),SL,2011,192784,Wagon,Automatic,Unleaded Petrol,Used,1998,Silver,5
17990,Toyota,Kluger,KX-R (fwd) 5 Seat,GSU40R MY11 Upgrade,2012,182372,Wagon,Automatic,Unleaded Petrol,Used,3456,Grey,5
42880,Skoda,Octavia,RS245,NE MY18,2018,52907,Wagon,Automatic,Premium Unleaded Petrol,Used,1984,White,5
81990,Toyota,Landcruiser,Workmate (4X4),VDJ79R MY18,2018,108293,Double Cab Chassis,Manual,Diesel,Used,4461,White,5
34990,Holden,Colorado,LS-X (4X4),RG MY16,2016,97826,Crew Cab Pickup,Automatic,Diesel,Used,2776,Silver,5
23990,Ford,Ranger,XL 3.2 (4X4),PX,2012,193733,Cab Chassis,Manual,Diesel,Used,3198,White,2
42888,Mitsubishi,Pajero Sport,GLS (4X4) 7 Seat,MY17,2017,69081,Wagon,Automatic,Diesel,Used,2442,White,7
29990,Ford,Ranger,XL 3.2 (4X4),PX,2014,210604,Super Cab Chassis,Manual,Diesel,Used,3198,White,4
37800,Nissan,X-Trail,TI (4WD),T32 Series 2,2018,71266,Wagon,Automatic,Unleaded Petrol,Used,2488,Black,5
59990,BMW,430I,M Sport,F33 MY17,2018,85596,Convertible,Automatic,Premium Unleaded Petrol,Used,1998,Grey,4
38999,Volkswagen,Golf,R,AU MY15,2015,92822,Hatchback,Manual,Premium Unleaded Petrol,Used,1984,Blue,5
18999,Renault,Clio,RS 200 Sport,X98,2014,104327,Hatchback,Automatic,Premium Unleaded Petrol,Used,1618,White,5
19990,Nissan,Navara,ST (4X4),D40,2012,196564,Dual Cab Pick-up,Automatic,Diesel,Used,2488,White,5
35850,Audi,Q5,3.0 TDI Quattro,8R MY14,2014,65498,Wagon,Automatic,Diesel,Used,2967,White,5
30990,Nissan,Navara,RX (4X4),NP300 D23,2015,117341,Double Cab Utility,Automatic,Diesel,Used,2298,White,5
66888,Nissan,Navara,SL (4X4),D23 MY21.5,2022,894,Dual Cab Pick-up,Manual,Diesel,Demo,2298,White,5
49990,Porsche,Cayenne,S,Series 2 MY12,2012,175584,Wagon,Automatic,Premium Unleaded Petrol,Used,4806,Black,5
32499,Toyota,Hilux,SR5 (4X4),KUN26R MY14,2013,226139,Dual Cab Pick-up,Automatic,Diesel,Used,2982,White,5
20990,Toyota,Corolla,Ascent,ZRE182R MY15,2017,128142,Hatchback,Automatic,Unleaded Petrol,Used,1798,White,5
79990,Toyota,Landcruiser,Workmate (4X4),VDJ79R MY18,2018,85460,Cab Chassis,Manual,Diesel,Used,4461,White,3
27999,Nissan,Patrol,TI (4X4),GU VI,2009,250464,Wagon,Automatic,Diesel,Used,2953,White,7
27999,Mitsubishi,Pajero,GLX-R LWB (4X4),NW MY14,2013,226986,Wagon,Automatic,Diesel,Used,3200,Gold,7
83990,Toyota,Hilux,Rogue (4X4),GUN126R Facelift,2021,3646,Double Cab Pick Up,Automatic,Diesel,Used,2753,Silver,5
60999,Mazda,CX-8,GT (fwd),CX8D,2022,2001,Wagon,Automatic,Unleaded Petrol,Demo,2488,Grey,7
48999,Nissan,Patrol,ST (4X4),GU IV,2006,292100,Wagon,Manual,Diesel,Used,4169,Silver,7
20990,Jeep,Wrangler,Sport (4X4),JK MY08,2009,166850,Softtop,Manual,Unleaded Petrol,Used,3778,Red,4
32998,Kia,Carnival,SLI,YP MY15,2015,163177,Wagon,Automatic,Unleaded Petrol,Used,3342,Black,8
